Date: 09.03.26
Time: 16:42:33
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	-800
Max	800
Unit	uV
SR	1000
Label	EMG
Sensor	AgAgCl
	394.873  
	10.4394  
	11.6636  
	-12.847  
	-64.922  
	-68.6535 
	-111.306 
	-162.781 
	-94.7156 
	-71.6583 
	-67.4743 
	91.6826  
	127.511  
	5.02264  
	-26.744  
	-153.673 
	-343.244 
	-432.063 
	-517.812 
	-574.131 
	-601.586 
	-429.959 
	-121.65  
	-134.958 
	-362.297 
	-541.181 
	-667.897 
	-745.616 
	-800     
	-713.286 
	-535.619 
	-417.678 
	-278.081 
	-46.5984 
	87.1524  
	91.4761  
	67.6687  
	-293.007 
	-719.542 
	-800     
	-742.367 
	-513.814 
	-326.839 
	-217.878 
	-199.393 
	-272.215 
	-263.116 
	-274.255 
	-301.056 
	-342.27  
	-506.655 
	-716.634 
	-800     
	-800     
	-773.755 
	-755.516 
	-595.379 
	-470.399 
	-463.39  
	-364.977 
	-299.75  
	-317.308 
	-426.762 
	-444.007 
	-381.558 
	-448.719 
	-424.214 
	-376.291 
	-462.804 
	-425.37  
	-307.93  
	-255.25  
	-181.766 
	-140.788 
	-230.794 
	-320.874 
	-272.878 
	-230.338 
	-234.855 
	-198.704 
	-235.623 
	-265.204 
	-181.043 
	-145.286 
	-89.7176 
	24.1138  
	52.0693  
	34.2145  
	108.982  
	255.854  
	326.131  
	241.903  
	62.2218  
	9.17593  
	54.648   
	68.4478  
	-54.3926 
	-333.08  
	-513.775 
	-609.59  
	-612.027 
	-544.749 
	-449.621 
	-295.379 
	-427.241 
	-593.856 
	-577.394 
	-769.751 
	-800     
	-800     
	-800     
	-707.44  
	-773.426 
	-731.674 
	-496.775 
	-429.056 
	-306.779 
	-20.4111 
	62.435   
	47.5607  
	139.108  
	121.675  
	125.128  
	85.6474  
	-55.2504 
	-117.929 
	-279.273 
	-362.822 
	-327.357 
	-313.178 
	-195.56  
	-333.586 
	-613.235 
	-565.711 
	-516.766 
	-396.105 
	-244.182 
	-340.774 
	-353.742 
	-358.002 
	-389.231 
	-418.156 
	-529.152 
	-559.059 
	-587.933 
	-524.164 
	-400.44  
	-454.272 
	-429.244 
	-298.09  
	-222.403 
	-116.371 
	101.222  
	300.355  
	341.448  
	376.123  
	234.629  
	74.4008  
	54.6257  
	-196.51  
	-319.534 
	-231.782 
	-259.932 
	-284.077 
	-278.248 
	-272.992 
	-255.428 
