Date: 09.03.26
Time: 16:46:28
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	-800
Max	800
Unit	uV
SR	1000
Label	EMG
Sensor	AgAgCl
	-36.1084 
	62.685   
	118.398  
	53.0019  
	179.492  
	100.468  
	-245.319 
	-271.369 
	-129.146 
	77.812   
	172.986  
	32.5085  
	-192.902 
	-210.783 
	-79.2346 
	-231.749 
	-363.853 
	-336.288 
	-313.654 
	-317.77  
	-366.538 
	-329.578 
	-342.152 
	-354.361 
	-244.934 
	-190.69  
	-192.574 
	-176.113 
	-181.708 
	-170.951 
	-83.5525 
	-24.8321 
	14.1672  
	108.607  
	119.842  
	3.12415  
	-105.617 
	-76.5146 
	31.4869  
	-7.32984 
	-67.3668 
	52.5934  
	177.181  
	220.117  
	175.335  
	-10.2457 
	-137.401 
	-66.7741 
	-6.06089 
	-143.566 
	-174.199 
	10.7208  
	73.9954  
	100.54   
	191.378  
	331.387  
	246.248  
	-119.253 
	-100.247 
	130.023  
	-108.206 
	-475.185 
	-344.748 
	-44.2348 
	2.3867   
	-22.3747 
	-85.9688 
	-147.419 
	-76.9188 
	-0.332287
	-133.287 
	-286.87  
	-281.695 
	-313.019 
	-186.498 
	51.2028  
	-12.5056 
	-212.928 
	-271.87  
	-185.842 
	47.8572  
	249.091  
	304.526  
	268.267  
	195.93   
	176.536  
	-37.3895 
	-279.547 
	-219.774 
	-54.4515 
	111.583  
	86.2259  
	-44.38   
	-52.3941 
	-142.933 
	-131.346 
	55.4935  
	-97.6894 
	-478.737 
	-547.106 
	-347.507 
	-183.017 
	-147.525 
	-157.052 
	-68.6551 
	-135.382 
	-369.988 
	-392.462 
	-354.038 
	-343.687 
	-307.746 
	-320.434 
	-293.61  
	-214.103 
	-150.258 
	-63.2158 
	36.2725  
	8.76421  
	26.0166  
	184.973  
	378.728  
	559.801  
	484.792  
	318.726  
	304.393  
	347.48   
	338.239  
	271.453  
	205.597  
	80.7668  
	-39.926  
	-76.4374 
	-238.104 
	-478.37  
	-398.734 
	-199.927 
	-66.5702 
	30.6805  
	-117.333 
	-269.069 
	-225.194 
	-180.378 
	-146.476 
	-149.395 
	-177.822 
	-61.9704 
	-187.663 
	-466.318 
	-269.116 
	23.5965  
	130.165  
	105.626  
	71.719   
	217.881  
	212.275  
	91.798   
	87.4785  
	19.3845  
	-120.51  
	-130.308 
	-77.0849 
	-164.942 
	-333.052 
	-427.988 
	-501.013 
	-554.802 
