Date: 09.03.26
Time: 16:47:01
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	-800
Max	800
Unit	uV
SR	1000
Label	EMG
Sensor	AgAgCl
	534.424  
	-219.495 
	-195.617 
	-279.154 
	-512.025 
	-636.723 
	-633.742 
	-544.959 
	-532.932 
	-575.514 
	-594.162 
	-568.309 
	-461.649 
	-358.044 
	-460.275 
	-684.122 
	-710.809 
	-657.54  
	-712.815 
	-720.399 
	-730.992 
	-724.907 
	-683.295 
	-765.181 
	-800     
	-800     
	-778.733 
	-612.357 
	-578.812 
	-517.451 
	-422.228 
	-638.586 
	-661.944 
	-445.982 
	-564.608 
	-618.79  
	-495.376 
	-534.638 
	-478.995 
	-255.011 
	-41.3038 
	120.657  
	192.945  
	799.976  
	799.976  
	8.20895  
	-594.436 
	-765.517 
	-800     
	-633.877 
	-636.316 
	-800     
	-689.619 
	-551.192 
	-562.861 
	-638.315 
	-749.066 
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-662.811 
	-485.117 
	-533.692 
	-463.781 
	-414.93  
	-530.542 
	-357.902 
	-282.152 
	-463.918 
	-543.022 
	-651.393 
	-646.823 
	-627.115 
	-770.743 
	-800     
	-772.99  
	-749.8   
	-675.58  
	-572.181 
	-397.243 
	-248.318 
	-211.508 
	-138.375 
	-31.1593 
	103.392  
	276.422  
	799.976  
	799.976  
	270.681  
	-19.7409 
	23.3465  
	-309.391 
	-787.239 
	-800     
	-800     
	-683.368 
	-332.654 
	-350.222 
	-435.175 
	-467.721 
	-627.016 
	-698.227 
	-800     
	-800     
	-800     
	-800     
	-541.744 
	-453.451 
	-494.11  
	-271.025 
	-20.3107 
	10.7286  
	86.2962  
	213.674  
	-23.0777 
	-278.335 
	-237.224 
	-353.805 
	-569.511 
	-661.66  
	-800     
	-800     
	-702.818 
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-800     
	-510.405 
	-475.101 
	-492.303 
	-257.514 
	-142.293 
	-22.9231 
	68.0011  
	-139.451 
	-170.018 
	3.79562  
	-6.13869 
	-121.911 
	-248.637 
	-357.611 
	-526.138 
	-757.959 
	-776.97  
	-680.307 
	-715.245 
	-722.702 
	-657.386 
	-632.049 
	-658.883 
	-712.399 
	-634.541 
	-527.927 
	-557.055 
	-574.762 
	-545.921 
	-528.94  
	-468.551 
	-333.444 
	-321.23  
	-400.627 
