Date: 09.03.26
Time: 17:20:20
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	1
Max	20
Unit	uS
SR	15.625
Label	GSR
Sensor	AgAgCl dry
	19.7638  
	19.74    
	19.704   
	19.74    
	19.7638  
	19.74    
	19.6454  
	19.6216  
	19.6802  
	19.74    
	19.74    
	19.7992  
	19.7992  
	19.704   
	19.7992  
	19.8596  
	19.9994  
	19.74    
	19.8956  
	19.5862  
	19.6802  
	19.7638  
	19.8236  
	19.7992  
	19.7992  
	19.7992  
	19.7638  
	19.9561  
	19.74    
	19.8236  
	19.704   
	19.704   
	19.8596  
	19.704   
	19.8596  
	19.74    
	19.6454  
	19.704   
	19.6216  
	19.7992  
	19.7638  
	19.8236  
	19.8956  
	19.8236  
	19.7992  
	19.74    
	19.74    
	19.92    
	19.9805  
	19.8956  
	19.9561  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.8956  
	19.9994  
	19.9994  
	19.9994  
	19.9805  
	19.9805  
	19.9994  
	19.9994  
	19.9994  
	19.8596  
	19.8956  
	19.8956  
	19.8236  
	19.9994  
	19.8236  
	19.74    
	19.74    
	19.74    
	19.6802  
	19.7638  
	19.8956  
	19.704   
	19.704   
	19.7638  
	19.6216  
	19.505   
	19.5862  
	19.704   
	19.4702  
	19.563   
	19.4702  
	19.563   
	19.74    
	19.6802  
	19.4702  
	19.4702  
	19.3549  
	19.3549  
	19.563   
	19.563   
	19.505   
	19.4702  
	19.505   
	19.447   
	19.4122  
	19.4122  
	19.4702  
	19.3207  
	19.505   
	19.447   
	19.2981  
	19.2981  
	19.3781  
	19.3549  
	19.3207  
	19.3207  
	19.2639  
	19.1516  
	19.3207  
	19.3207  
	19.0955  
	19.2078  
	19.1516  
	19.1852  
	19.0399  
	19.1516  
	19.1852  
	19.1852  
	19.2078  
	19.3207  
	19.505   
	19.505   
	19.3207  
	19.3207  
	19.4122  
	19.3207  
	19.2413  
	19.3207  
	19.3781  
	19.4122  
	19.3781  
	19.3207  
	19.505   
	19.3549  
	19.2078  
	19.4122  
	19.3781  
	19.2981  
	19.1852  
	19.4122  
	19.2981  
	19.2639  
	19.4122  
	19.505   
	19.5282  
	19.3781  
	19.3207  
	19.5282  
	19.5282  
	19.505   
	19.3781  
	19.4702  
	19.447   
	19.563   
	19.5282  
	19.3781  
	19.3207  
	19.4122  
	19.447   
	19.4122  
	19.447   
	19.505   
	19.4702  
	19.505   
	19.563   
	19.4702  
	19.3781  
	19.4702  
	19.4122  
	19.2078  
	19.3207  
	19.3549  
	19.3549  
	19.4702  
	19.3207  
	19.4702  
	19.3549  
	19.4122  
	19.447   
	19.2981  
	19.3207  
	19.2413  
	19.447   
	19.4122  
	19.505   
	19.4702  
	19.3549  
	19.447   
	19.2981  
	19.6454  
	19.3781  
	19.2639  
	19.2413  
	19.1516  
	19.2639  
	19.2639  
	19.447   
	19.4122  
	19.505   
	19.3781  
	19.2413  
	19.2078  
