Date: 09.03.26
Time: 17:19:19
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	1
Max	20
Unit	uS
SR	15.625
Label	GSR
Sensor	AgAgCl dry
	18.4814  
	18.4503  
	18.4503  
	18.5968  
	18.5443  
	18.5443  
	18.5236  
	18.5443  
	18.576   
	18.576   
	18.5236  
	18.5968  
	18.5968  
	18.4814  
	18.5236  
	18.6499  
	18.5236  
	18.5443  
	18.5443  
	18.4814  
	18.5236  
	18.5443  
	18.5968  
	18.5443  
	18.714   
	18.5968  
	18.576   
	18.5443  
	18.3984  
	18.6499  
	18.6499  
	18.576   
	18.5968  
	18.6499  
	18.576   
	18.576   
	18.6499  
	18.5236  
	18.5968  
	18.6285  
	18.5443  
	18.576   
	18.5968  
	18.6499  
	18.6816  
	18.6499  
	18.5968  
	18.576   
	18.5968  
	18.6816  
	18.6285  
	18.6285  
	18.5443  
	18.6285  
	18.6285  
	18.5968  
	18.6499  
	18.5968  
	18.6816  
	18.6816  
	18.576   
	18.6499  
	18.6285  
	18.6816  
	18.7354  
	18.6816  
	18.7354  
	18.6816  
	18.5968  
	18.6285  
	18.714   
	18.5968  
	18.576   
	18.5968  
	18.5443  
	18.6285  
	18.5968  
	18.5443  
	18.5968  
	18.6285  
	18.6816  
	18.6816  
	18.6285  
	18.6285  
	18.576   
	18.576   
