Date: 09.03.26
Time: 17:26:51
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	B
Min	1
Max	20
Unit	uS
SR	15.625
Label	GSR
Sensor	AgAgCl dry
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
	19.9994  
