Date: 09.03.26
Time: 17:36:33
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	B
Min	1
Max	20
Unit	uS
SR	15.625
Label	GSR
Sensor	AgAgCl dry
	16.9342  
	16.7871  
	16.7438  
	16.8298  
	16.7438  
	16.7609  
	16.7871  
	16.7609  
	16.8298  
	16.676   
	16.676   
	16.7181  
	16.701   
	16.7181  
	16.7181  
	16.7438  
	16.676   
	16.6333  
	16.5912  
	16.6333  
	16.5912  
	16.6333  
	16.701   
	16.5411  
	16.5161  
	16.6504  
	16.7438  
	16.8732  
	16.8298  
	16.8732  
	16.8298  
	16.8042  
	16.8042  
	16.9342  
	16.8475  
	16.9342  
	16.9342  
	17.0758  
	17.1204  
	17.0312  
	17.049   
	17.1204  
	17.2284  
	17.2101  
	17.1832  
	17.1204  
	17.3468  
	17.2284  
	17.2736  
	17.2284  
	17.2284  
	17.301   
	17.1381  
	17.1832  
	17.1649  
	17.1204  
	17.2552  
	17.2101  
	17.0758  
	17.2552  
	17.1832  
	17.0758  
	17.1381  
	17.1381  
	17.049   
	17.1204  
	17.1832  
	17.1381  
	17.0758  
	17.1649  
	17.0758  
	17.1649  
	17.2101  
	17.2284  
	17.2552  
	17.2736  
	17.3285  
	17.301   
	17.4207  
	17.4207  
	17.439   
	17.5134  
	17.467   
	17.5604  
	17.6837  
	17.7026  
	17.655   
	17.7795  
	17.7991  
	17.8284  
	17.8961  
	17.9553  
	17.9749  
	18.0542  
	18.0542  
	18.1238  
	18.1543  
	18.2043  
	18.2245  
	18.1238  
	18.1543  
	18.4918  
	18.3881  
	18.3575  
	18.4399  
	18.4918  
	18.5864  
	18.4399  
	18.4399  
	18.6926  
	18.6078  
	18.4607  
	18.4918  
	18.5547  
	18.6078  
	18.7677  
	18.8     
	18.6395  
	18.714   
	18.8     
	18.941   
	18.8538  
	18.963   
	18.9081  
	18.9081  
	18.941   
	18.8214  
	18.963   
	18.996   
	18.941   
	18.941   
	19.0735  
	18.941   
	19.0179  
	19.1064  
	18.963   
	18.963   
	19.129   
	19.1852  
	19.1064  
	19.0735  
	19.0735  
	19.1852  
	19.129   
	19.1064  
	19.0735  
	19.129   
	19.2529  
	19.0735  
	19.0735  
	19.0735  
	19.0509  
	19.1064  
	19.1626  
	19.129   
	19.1626  
	19.1626  
	19.1626  
	19.129   
	19.0179  
	19.129   
	19.1626  
	19.1852  
	19.2188  
	19.2529  
	19.1852  
	19.1852  
	19.2529  
	19.1852  
	19.2755  
	19.2188  
	19.1626  
	19.3091  
	19.3091  
	19.3896  
	19.2529  
	19.3665  
	19.2529  
	19.2529  
	19.2755  
	19.505   
	19.4238  
	19.3323  
	19.2755  
	19.3665  
	19.3896  
	19.3896  
	19.3091  
	19.3896  
	19.4238  
	19.2755  
	19.447   
	19.4818  
	19.3665  
	19.2755  
	19.3665  
	19.4238  
	19.5398  
	19.3896  
	19.4238  
	19.3665  
	19.2529  
	19.3323  
	19.3091  
	19.3091  
	19.3665  
	19.2188  
	19.2529  
	19.2529  
	19.2529  
	19.3896  
	19.3896  
	19.2529  
	19.3091  
	19.2755  
	19.3323  
	19.3323  
	19.3896  
	19.2188  
	19.3091  
	19.3323  
	19.1626  
	19.129   
	19.1852  
	19.1852  
	19.2755  
	19.129   
	19.1626  
	19.1626  
	19.1852  
	19.129   
	19.1064  
	19.1626  
	18.996   
	18.941   
	18.963   
	18.8538  
	18.9081  
	18.8538  
	18.941   
	18.941   
	19.0179  
	18.9081  
	18.941   
	18.996   
	18.941   
	18.714   
	18.963   
	18.941   
	18.8867  
	18.6926  
	18.6926  
	18.5864  
	18.8214  
	18.8     
	18.8214  
	18.8     
	18.714   
	18.6926  
	18.6078  
	18.5547  
	18.6395  
	18.6395  
	18.4607  
	18.5864  
	18.714   
	18.6609  
	18.4918  
	18.4088  
	18.3881  
	18.4088  
	18.4607  
	18.5339  
	18.5339  
	18.5339  
	18.5864  
	18.5864  
	18.3881  
	18.3063  
	18.3881  
	18.3575  
	18.3575  
	18.3575  
	18.3368  
	18.3575  
	18.3368  
	18.3368  
	18.3063  
	18.3575  
	18.3368  
	18.4088  
	18.4088  
	18.3881  
	18.3881  
	18.2245  
	18.3575  
	18.3368  
	18.2043  
	18.2758  
	18.4399  
	18.4399  
	18.3881  
	18.3881  
	18.4088  
	18.3368  
	18.4607  
	18.4088  
	18.3881  
	18.4607  
	18.4607  
	18.4607  
	18.4607  
	18.4088  
	18.5864  
	18.6395  
	18.5339  
	18.4607  
	18.4607  
	18.4088  
	18.5339  
	18.5547  
	18.5339  
	18.5339  
	18.5547  
	18.4918  
	18.5864  
	18.7457  
	18.5547  
	18.3881  
	18.4607  
	18.4918  
	18.5864  
	18.4399  
	18.4918  
	18.5547  
	18.6078  
	18.5547  
	18.6078  
	18.4918  
	18.4918  
	18.5864  
	18.4918  
	18.5864  
	18.5339  
	18.4918  
	18.5547  
	18.4607  
	18.4399  
	18.4399  
	18.3368  
	18.4088  
	18.5547  
	18.3881  
	18.4088  
	18.4399  
	18.3368  
	18.2758  
	18.3881  
	18.3063  
	18.4088  
	18.3575  
	18.3575  
	18.5339  
	18.4399  
	18.4399  
	18.3881  
	18.3575  
	18.4607  
	18.4607  
	18.3368  
	18.4088  
	18.3575  
	18.3575  
	18.3881  
	18.4399  
	18.3368  
	18.4088  
	18.4918  
	18.4088  
	18.3368  
	18.255   
	18.4607  
	18.4918  
	18.4088  
	18.3368  
	18.3881  
	18.5547  
	18.4918  
	18.3575  
	18.2758  
	18.4088  
	18.4607  
	18.4399  
	18.5547  
	18.5864  
	18.5547  
	18.4918  
	18.5339  
	18.4607  
	18.4918  
	18.4918  
	18.5864  
	18.6078  
	18.4918  
	18.5864  
	18.4918  
	18.5547  
	18.4918  
	18.5339  
	18.5339  
	18.5864  
	18.4918  
	18.4399  
	18.4607  
	18.4607  
	18.3881  
	18.4192  
	18.3881  
	18.4399  
	18.3575  
	18.4088  
	18.3063  
	18.3881  
	18.3063  
	18.3575  
	18.3368  
	18.3063  
	18.2758  
	18.1543  
	18.2043  
	18.1744  
	18.2043  
	18.3063  
	18.1744  
	18.2043  
	18.1543  
	18.1036  
