Date: 09.03.26
Time: 17:37:43
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	B
Min	1
Max	20
Unit	uS
SR	15.625
Label	GSR
Sensor	AgAgCl dry
	16.8909  
	16.9342  
	16.8909  
	16.8909  
	16.8732  
	16.8475  
	16.8475  
	16.8298  
	16.7609  
	16.7609  
	16.7438  
	16.7609  
	16.7438  
	16.7181  
	16.7181  
	16.701   
	16.701   
	16.676   
	16.676   
	16.6504  
	16.6083  
	16.6083  
	16.6333  
	16.5912  
	16.5576  
	16.5576  
	16.5912  
	16.5912  
	16.5576  
	16.5411  
	16.5161  
	16.5576  
	16.5411  
	16.5411  
	16.5161  
	16.4911  
	16.4911  
	16.4746  
	16.4746  
	16.4746  
	16.4746  
	16.4496  
	16.4496  
	16.3922  
	16.4331  
	16.4331  
	16.4331  
	16.4087  
	16.4331  
	16.4087  
	16.4087  
	16.3678  
	16.4087  
	16.3922  
	16.3922  
	16.3922  
	16.3922  
	16.3678  
	16.3513  
	16.3678  
	16.3678  
	16.3513  
	16.3513  
	16.3678  
	16.3513  
	16.3513  
	16.3269  
	16.3269  
	16.3104  
	16.3269  
	16.3104  
	16.3678  
	16.3513  
	16.3269  
	16.3269  
	16.3269  
	16.3513  
	16.3678  
	16.3513  
	16.3513  
	16.3269  
	16.3269  
	16.3269  
	16.3269  
	16.3104  
	16.3678  
	16.3513  
	16.3513  
	16.3678  
	16.3104  
	16.3269  
	16.3269  
	16.3269  
	16.3513  
	16.3513  
	16.3269  
	16.3513  
	16.3513  
	16.3104  
	16.3269  
	16.3513  
	16.286   
	16.3104  
	16.286   
	16.3104  
	16.3269  
	16.3104  
	16.286   
	16.3104  
	16.286   
	16.286   
	16.3104  
	16.3269  
	16.3513  
	16.3104  
	16.3104  
	16.3104  
	16.3269  
	16.3269  
	16.3104  
	16.286   
	16.286   
	16.286   
	16.286   
	16.3104  
	16.3269  
	16.3269  
	16.3269  
	16.286   
	16.3678  
	16.3104  
	16.3104  
	16.3269  
	16.3678  
	16.3269  
	16.3513  
	16.3513  
	16.3513  
	16.3678  
	16.3513  
	16.3678  
	16.3269  
	16.3269  
	16.3678  
	16.3678  
	16.3513  
	16.4087  
	16.3678  
	16.4331  
	16.3922  
	16.4331  
	16.3513  
	16.3678  
	16.4087  
	16.3678  
	16.3922  
	16.3513  
	16.3513  
	16.3678  
	16.3269  
	16.4087  
	16.3922  
	16.3678  
	16.3922  
	16.3922  
	16.4087  
	16.3678  
	16.3269  
	16.3922  
	16.3922  
	16.3922  
	16.3922  
	16.4087  
	16.4087  
	16.4331  
	16.4496  
	16.4496  
	16.4746  
	16.5576  
	16.5411  
	16.5576  
	16.6083  
	16.676   
	16.676   
	16.7609  
	16.7181  
	16.7871  
	16.8298  
	16.8732  
	16.8909  
	16.9604  
	16.9342  
	16.9873  
	16.9604  
	17.0044  
	17.0312  
	17.0044  
	17.1204  
	17.1204  
	17.0935  
	17.0935  
	17.1381  
	17.1649  
	17.2101  
	17.1832  
	17.2101  
	17.2101  
	17.1832  
	17.2736  
	17.2101  
	17.1832  
	17.2552  
	17.2101  
	17.2552  
	17.2552  
	17.2284  
	17.1832  
	17.2284  
	17.2552  
	17.2101  
	17.2284  
	17.2284  
	17.2552  
	17.2101  
	17.2284  
	17.2101  
	17.2101  
	17.1649  
	17.1204  
	17.1381  
	17.1381  
	17.1204  
	17.1204  
	17.0935  
	17.0935  
	17.0758  
	17.0758  
	17.0758  
	17.0758  
	17.0935  
	17.049   
	17.0758  
	17.0758  
	17.049   
	17.049   
	17.0044  
	17.0044  
	17.049   
	16.9873  
	16.9604  
	16.9604  
	16.9604  
	16.9342  
	16.9604  
	16.9171  
	16.8732  
	16.8909  
	16.8732  
	16.8298  
	16.8475  
	16.8475  
	16.8475  
	16.8298  
	16.8298  
	16.8475  
	16.8732  
	16.8475  
	16.8298  
	16.7609  
	16.7609  
	16.7871  
	16.7438  
	16.7871  
	16.8298  
	16.8298  
	16.7609  
	16.7438  
	16.7871  
	16.7871  
	16.7438  
	16.7609  
	16.7871  
	16.7871  
	16.7609  
	16.7871  
	16.7871  
	16.7609  
	16.7609  
	16.7871  
	16.7609  
	16.7438  
	16.7609  
	16.7609  
	16.7609  
	16.8042  
	16.7871  
	16.7871  
	16.7871  
	16.8042  
	16.8042  
	16.7438  
	16.7871  
	16.7181  
	16.7609  
	16.7871  
	16.7609  
	16.7609  
	16.7438  
	16.7871  
	16.7871  
	16.7609  
	16.7609  
	16.7181  
	16.7609  
	16.7181  
	16.7438  
	16.701   
	16.701   
	16.676   
	16.6083  
	16.7438  
	16.676   
	16.7181  
	16.6504  
	16.6083  
	16.6333  
	16.5576  
	16.6083  
	16.6083  
	16.6083  
	16.6504  
	16.6333  
	16.6333  
	16.6333  
	16.701   
	16.7181  
	16.7438  
	16.7438  
	16.7181  
	16.7181  
	16.7871  
	16.8298  
	16.8475  
	16.8298  
	16.8298  
	16.8298  
	16.9342  
	16.8909  
	16.8909  
	16.9873  
	16.9604  
	17.0312  
	16.9873  
	17.0044  
	17.049   
	17.0044  
	16.9873  
	17.0312  
	17.0312  
	17.0044  
	17.049   
	16.9873  
	16.9873  
	17.049   
	16.9604  
	16.9873  
	17.049   
	17.0044  
	17.0312  
	16.9873  
	17.0044  
	17.049   
	17.0044  
	17.0044  
	17.0312  
	16.9604  
	16.9604  
	16.9873  
	17.0312  
	17.0044  
	17.0044  
	16.9873  
	16.9604  
	17.0044  
	16.9604  
	16.9873  
	16.9171  
	16.9342  
	16.9171  
	16.9342  
	16.8475  
	16.9342  
	16.8732  
	16.8732  
	16.9171  
	16.9171  
	16.8732  
	16.8732  
	16.8298  
	16.8732  
	16.8475  
	16.8475  
	16.8298  
	16.8298  
	16.8298  
	16.8042  
	16.7871  
	16.8042  
	16.7609  
	16.7609  
	16.7609  
	16.8298  
	16.8298  
	16.8042  
	16.8298  
	16.8298  
	16.8909  
	16.8475  
	16.9171  
	16.9873  
	16.9171  
	16.8909  
	16.9604  
	17.0044  
	16.9604  
	17.0312  
	17.049   
	17.0758  
	17.1204  
	17.0935  
	17.1204  
	17.1381  
	17.1204  
	17.1649  
